127.0.0.1 - - [26/Jul/2016:13:55:49 +0800] "GET / HTTP/1.1" 200 11452
192.168.191.4 - - [26/Jul/2016:14:04:01 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:01 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:15 +0800] "POST /ADNursingServer/servlet/ViewPostByKindServlet?mode=android HTTP/1.1" 200 4
192.168.191.4 - - [26/Jul/2016:14:04:22 +0800] "POST /ADNursingServer/servlet/IsFavoriteServlet?mode=android HTTP/1.1" 200 14
192.168.191.4 - - [26/Jul/2016:14:04:22 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=&url= HTTP/1.1" 200 -
192.168.191.4 - - [26/Jul/2016:14:04:22 +0800] "POST /ADNursingServer/servlet/ViewOnePostServlet?mode=android HTTP/1.1" 200 1716
192.168.191.4 - - [26/Jul/2016:14:04:22 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=6e20ac74-974b-469a-b047-8882079ba8bd_7.jpg&url=E:\ADNursing\image\6e20ac74-974b-469a-b047-8882079ba8bd_7.jpg HTTP/1.1" 200 12542
192.168.191.4 - - [26/Jul/2016:14:04:22 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=46ec4fc7-24fb-40a0-b17d-fa404bcea127_6.jpg&url=E:\ADNursing\image\46ec4fc7-24fb-40a0-b17d-fa404bcea127_6.jpg HTTP/1.1" 200 23086
192.168.191.4 - - [26/Jul/2016:14:04:22 +0800] "POST /ADNursingServer/servlet/ViewPostCommentServlet?mode=android HTTP/1.1" 200 689
192.168.191.4 - - [26/Jul/2016:14:04:23 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:23 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:23 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:23 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=00d389cb-7b17-4c65-9538-7f90a97fc8d3_cat2.jpg&url=E:\ADNursing\image\00d389cb-7b17-4c65-9538-7f90a97fc8d3_cat2.jpg HTTP/1.1" 200 17356
192.168.191.4 - - [26/Jul/2016:14:04:23 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/servlet/ViewPostByKindServlet?mode=android HTTP/1.1" 200 1256
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/android/register.jsp?mode=android HTTP/1.1" 500 3571
192.168.191.4 - - [26/Jul/2016:14:04:34 +0800] "POST /ADNursingServer/servlet/DownloadFileServlet?filename=df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg&url=E:\ADNursing\image\df4027bf-aacc-4812-8644-e80618f9e8a6_6.jpg HTTP/1.1" 200 13399
